"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"Thbs1",-4.24678437238828,7.69865917306907,-207.940007078355,1.32373065590518e-25,1.81933541347609e-21,47.9032474240918,"down"
"Gpt2",-3.50384397537164,8.49978257744907,-187.366998564564,5.60125400791401e-25,3.01368507738601e-21,46.8153745383542,"down"
"Col1a2",-6.20646184849647,7.43112776957781,-182.069904971012,8.33172316944682e-25,3.01368507738601e-21,46.5043956166772,"down"
"Cxcl12",-4.08045518442028,8.66922539672423,-181.39564022951,8.77091116817814e-25,3.01368507738601e-21,46.4638150351974,"down"
"Krt8",3.80355168477636,7.68573030605086,170.99938174249,1.98578885732363e-24,5.4585364110112e-21,45.8078444176784,"up"
"Gas6",-5.3734497802301,6.30826616121209,-165.843021508453,3.03411651724447e-24,6.95014956883467e-21,45.4600526486455,"down"
"Col12a1",-5.65641332714517,7.09361984630685,-153.349348146061,8.97309609244929e-24,1.7618033242089e-20,44.5484502756375,"down"
"Angptl7",-4.31335559165406,6.40680732689163,-148.973288285732,1.3396806799853e-23,2.30157140821475e-20,44.2039083188814,"down"
"Acta2",-4.81804292372071,5.84915549942456,-142.53986431548,2.46827867165672e-23,3.76933578480556e-20,43.6711499849423,"down"
"Pdgfra",-3.75768283490364,6.55556244827196,-138.68334298136,3.60812343400849e-23,4.34241290370132e-20,43.3358188296865,"down"
"Col1a1",-2.80827610595558,11.8337550763963,-138.615248753205,3.63273525984754e-23,4.34241290370132e-20,43.3297852790861,"down"
"Col3a1",-3.4682842019223,10.065264701544,-138.187813463293,3.79139659810941e-23,4.34241290370132e-20,43.2918209237998,"down"
"Neto2",-4.35886667014445,7.50916522536924,-137.390192149537,4.10768772461438e-23,4.34277385285385e-20,43.2205544010879,"down"
"Igfbp4",3.91867350432616,6.61737981699555,135.116875391102,5.17481283719652e-23,5.08018768817349e-20,43.0143671012266,"up"
"Me1",2.61709600142354,8.49709496556189,132.546508377783,6.75068144178406e-23,6.18542438239201e-20,42.7756171200567,"up"
"Gfpt2",3.61262221154802,6.51822640486727,131.317423886143,7.67974416298604e-23,6.596900236005e-20,42.659283122309,"up"
