pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_ABC_TRANSPORTERS	0.840122199592668	0.940954965975992	0.0210730272985761	0.358376328783197	0.760972209783498	15	Abca7 Abcb6 Abcc5 Abcb9 Abcg4 Abcb8 Abcd3 Abcg2
KEGG_ACUTE_MYELOID_LEUKEMIA	0.885114885114885	0.953383680453124	0.0164369248025913	0.337853062376271	0.768232108389909	30	Akt3 Cebpa Kras Jup
KEGG_ADHERENS_JUNCTION	0.377622377622378	0.767832167832168	0.0585937568945671	0.454439118293739	1.05217289059153	44	Lmo7 Cdh1 Ptprf Nectin1 Tgfbr1 Nectin4 Baiap2 Ptprj Rhoa Csnk2a2 Smad2 Rac1 Wasl Tcf7 Afdn Src Map3k7 Actg1 Iqgap1 Fyn
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.705294705294705	0.919408479129063	0.0294936424723046	0.391311105818233	0.892438815542031	31	Irs1 Akt3 Acsl4 Acsl5 Camkk1 Cpt1b Tradd Prkag1 Mapk9 Acsl3 Chuk Cpt1a Akt1 Ikbkg Prkag2 Prkab1 Nfkbib Prkaa1
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.305496828752643	0.717891864233328	0.0716527366829457	0.572197364410276	1.14202647391819	9	Gfpt2 Got1 Glud1 Got2
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.054989816700611	0.314473014256619	0.191892240384838	0.650138167029168	1.3804959700005	15	Irs1 Kras Prkca Hsd11b2 Sfn Scnn1a
KEGG_ALLOGRAFT_REJECTION	0.431279620853081	0.78142743184271	0.0745500777420554	0.695941266103338	1.03704467874077	2	H2-D1 Cd28
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.63804347826087	0.919408479129063	0.0383205781976994	0.46243930218685	0.891251594046039	7	Pla2g3 Pla2g6 Acox1 Pla2g4a Pla2g4b Fads2 Acox3
KEGG_ALZHEIMERS_DISEASE	1	1	0	0.22068140046251	0.522703117418443	63	Ndufa4l2 Lpl Itpr3 Chp1 Cycs Mapt Casp8 Calm2 Calm1 Sdhd Ide Mme Cyc1 Casp3 Apoe Capn2 Fadd Atp2a2 Ndufb6 Ndufa10
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.0027857141709778	0.0728265276127054	0.431707695803346	-0.413577675968347	-1.55503790462039	18	Farsb Dars Hars2 Tars2 Qars Fars2 Pars2 Mtfmt Hars Dars2 Iars2 Wars1 Ears2 Sars2 Lars2 Rars2 Yars2 Mars2
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.264	0.700173913043478	0.0762797180809272	0.509491955838022	1.13745998223296	25	Gfpt2 Gale Gnpda2 Hk1 Nans Gne Ugp2
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.832	0.940954965975992	0.020562605901185	0.35579538705952	0.793661504618965	24	Cat Chp1 Cycs Map3k5 Prph Rac1 Als2 Tomm40
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.955578512396694	0.987507392075695	0.0130773356900516	0.295261418161073	0.605707828842188	11	H2-D1 Psme2 Nfyc Psme1 Tapbp B2m Ifi30 Psme3
KEGG_APOPTOSIS	0.77022977022977	0.94034034034034	0.024919740580511	0.37702451484997	0.865913269352508	37	Akt3 Birc3 Aifm1 Endod1 Map3k14 Chp1 Prkx Cycs Casp8 Dffa Tradd Irak3 Chuk Casp3 Akt1 Capn2 Fadd Ikbkg
KEGG_ARACHIDONIC_ACID_METABOLISM	0.263429752066116	0.700173913043478	0.0780892306943345	0.569603553099791	1.16850123391555	11	Ptgs2 Pla2g3 Ptgs1 Cbr3
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.229757085020243	0.656961664979757	0.0843144320642653	0.543501420305071	1.17179655288838	17	Aldh1b1 Sms Gamt Sat1 Got1 Glud1 Pycrl Aldh3a2 Got2 Amd1 Pycr2
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.038038038038038	0.267729267729268	0.231126709673834	0.625435393525852	1.38793946651715	22	Itgb4 Slc8a1 Itgb3 Itga6 Cacna2d1 Jup
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.136912751677852	0.533877113598476	0.135740943810425	0.80107732477499	1.30693148521797	3	Aldh1b1 Aldh3a2 Ugdh
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.316778523489933	0.717891864233328	0.0822054920415869	0.696037683568856	1.13556274209837	3	H2-D1 Tg Cd28
KEGG_AXON_GUIDANCE	0.024975024975025	0.267729267729268	0.287857117255149	0.551617283546289	1.30340777123117	60	Sema4g Ablim3 Epha4 Sema6b Sema4f Plxnb3 Dpysl5 Ntn1 Srgap1 Kras Sema3d Dpysl2 Sema3e Limk1 Ngef Pak4 Ntn4 Chp1 Rhoa Ablim1 Nfatc1 Sema6d Epha2 Efnb3 Nck2 Fes Nck1 Sema3c Ptk2 Rac1 Ephb3 Srgap2 Unc5b Rock2 Nrp1 Plxnb2 Fyn Plxna1
KEGG_BASAL_CELL_CARCINOMA	0.10081466395112	0.429048453559418	0.138022242496643	0.615928228392903	1.30785497641428	15	Wnt6 Wnt10a Wnt11 Wnt7b Bmp2
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.997981836528759	1	0.0050253720939123	0.202171162705374	0.439939820130947	19	Taf4b Gtf2f2 Gtf2e1 Taf7 Taf6l Gtf2ird1 Taf12 Taf2 Gtf2b Taf4 Taf13 Gtf2f1 Gtf2a2 Taf11 Taf10
KEGG_BASE_EXCISION_REPAIR	0.770770770770771	0.94034034034034	0.0249900772245545	0.376106235268341	0.835150885611581	23	Neil2 Parp1 Lig1 Pcna Mutyh Fen1 Pold1 Pole3 Apex2 Parp4 Pold2 Pold3 Pole2 Pole4 Polb Ogg1 Hmgb1
KEGG_BETA_ALANINE_METABOLISM	0.0423634336677815	0.287129939303852	0.231126709673834	0.792488610834465	1.49390498249026	6	Aldh1b1 Sms Aoc2
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.539568345323741	0.866149185914426	0.0434506826723125	0.46496674658377	0.963641124203231	12	Scd1 Scd2 Acot7 Elovl6 Elovl5 Acox1 Yod1
KEGG_BLADDER_CANCER	0.00562555841307517	0.128684648699095	0.407017918923954	0.69831198741229	1.54966408569822	22	Dapk2 Cdh1 Fgfr3 Vegfc Mmp2 Kras E2f2
KEGG_BUTANOATE_METABOLISM	0.048155737704918	0.303879310344828	0.206587922696891	0.67669933908909	1.41023186494266	13	Aldh1b1 Bdh1 Aacs Hmgcs1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.691308691308691	0.919408479129063	0.0304894126298511	0.393595600696488	0.8976489204252	31	Jun Akt3 Kras Chp1 Nfatc1 Vav3 Cd72 Lyn
KEGG_CALCIUM_SIGNALING_PATHWAY	0.032967032967033	0.267729267729268	0.248911114434702	0.581177883512832	1.33633977402579	38	Gna14 Slc8a1 Adra1b Hrh1 Erbb3 Ryr1 Prkca Gnal Phka1 Itpr3 Phka2 Chp1 Prkx
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.382828282828283	0.76986346986347	0.0584693210386381	0.491012780730667	1.06667061434892	18	Slc8a1 Slc9a6 Cacna2d1
KEGG_CELL_ADHESION_MOLECULES_CAMS	1.56707600264732e-05	0.0028677490848446	0.575610261071129	0.833632392056379	1.8109735849497	18	Esam Cdh1 Alcam Jam2 Itga6 Cd274 Icam1 Ptprf Nectin1 Pecam1 H2-D1
KEGG_CELL_CYCLE	0.893106893106893	0.955781061044219	0.0157837626630889	0.347699002866634	0.832898875030201	80	Ywhah Cdc14a Ccne2 Sfn Ywhaz E2f2 Cdc6 Cdc25b Mad1l1 Pcna Cdkn2d Cdk1 Ccnb2 Ywhag Ccnb1 Smad2 Mcm3 Ywhaq Chek1 Cdc27 Cdc25c Mad2l1 Orc1 Mcm4 Cdc25a Mcm6 Cdc45 Plk1 Rbx1 Pkmyt1 Cdc20 Rad21 Mcm2 Chek2
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.473526473526474	0.817503251465516	0.0481183992657975	0.42546676887265	1.00405754837668	58	Akt3 Kras Stat2 Arrb1 Grk5 Stat1 Ccr7 Elmo1 Ccl5 Rhoa Prkx Vav3 Prkcd Pxn Lyn Tiam1 Ccl27a Ptk2 Gng3 Rac1 Gnb1 Wasl Grk2 Rock2 Sos2 Rock1 Rap1b Cdc42 Adcy6 Chuk Hras Akt1
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.958041958041958	0.987507392075695	0.00954760674075313	0.303114851705045	0.699155837634682	40	Akt3 Tgfbr1 Kras E2f2
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.690217391304348	0.919408479129063	0.0346410167413251	0.438395649354871	0.844912660889072	7	Bhlhe40 Csnk1e Clock Cry1 Nr1d1 Cry2
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.768920282542886	0.94034034034034	0.0255522951965404	0.382790327018331	0.832980853267036	19	Idh1 Ogdh Idh3a Acly Sdhd Mdh2 Aco1 Cs Aco2 Mdh1 Sucla2 Dlat
KEGG_COLORECTAL_CANCER	0.583416583416583	0.883868197917785	0.0385579101998489	0.418299194134565	0.960418687605071	35	Jun Akt3 Tgfbr1 Kras Rhoa Cycs Smad2 Rac1 Tcf7 Birc5 Mapk9
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.000360489706908664	0.0329848081821427	0.49849310876659	0.832479022403302	1.70777158884164	11	Thbd Serping1 Plat Cd55 Masp1 Plaur Plau
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.790224032586558	0.940954965975992	0.024567800621605	0.379260948292226	0.799585938656679	14	Sms Ahcyl2 Got1 Enoph1 Got2 Amd1 Cdo1 Trdmt1 Dnmt3a Dnmt1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.000645701365101155	0.0393877832711704	0.477270815362862	0.656265972430072	1.51946704720583	44	Flt1 Il2rg Vegfc Tnfrsf25 Tnfrsf12a Pdgfb Tgfbr1 Tnfsf15 Cntf Kitl Inhbb Il20rb Ccr7 Ccl5 Tnfrsf4 Il22ra1 Tnfrsf13c Bmp2 Tnfsf13 Amhr2 Clcf1 Acvr2a Acvrl1
