pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_2_LTR_CIRCLE_FORMATION	0.832	1	0.0279402790995263	0.394339731896101	0.722798116121071	6	Hmga1 Psip1 Xrcc4 Lig4 Banf1 Xrcc6
REACTOME_ABACAVIR_METABOLISM	0.172804532577904	0.80697484333848	0.179782316298324	-0.762570993212356	-1.25973932258197	2	Guk1 Adal
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	0.908902691511387	1	0.0516355964484201	0.54612188365651	0.72873125042897	1	Abcg2
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.645038167938931	1	0.101350743797099	-0.454003879190912	-0.888179169202204	3	Guk1 Adal Abcg2
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.916083916083916	1	0.0138082722594766	0.338964533286384	0.798419200752334	67	Abca7 Psmc2 Abcb6 Vcp Psmb3 Psmd3 Psmd14 Psmd12 Abcc5 Abcb9 Psmd1 Psmc1 Psmd11 Psmb7 Psmd5 Abcg4 Psmd10 Psmd9 Psmd13 Psmc5 Psmc4 Psma1 Psme2 Eif2s1 Abcb8 Psma4 Psmb10 Psmc3 Psmd7 Psmd2 Psma7 Psmd4 Psma2 Abcd3 Psmb6 Psmd6 Psme1 Psmc6 Psma3 Derl1
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.797714285714286	1	0.0300618095810088	0.412658312455531	0.756374838037229	6	Abca7 Abcg4 Abcd3
REACTOME_ABC_TRANSPORTER_DISORDERS	0.874125874125874	1	0.0173129588067077	0.356360477373454	0.829492015167369	53	Psmc2 Abcb6 Vcp Psmb3 Psmd3 Psmd14 Psmd12 Psmd1 Psmc1 Psmd11 Psmb7 Psmd5 Psmd10 Psmd9 Psmd13 Psmc5 Psmc4 Lmbrd1 Psma1 Psme2 Psma4 Psmb10 Psmc3 Psmd7 Psmd2 Psma7 Psmd4 Psma2 Psmb6 Psmd6 Psme1 Psmc6 Psma3 Derl1
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	1	1		-0.20729845983072	-0.742808438099297	14	Anapc2 Ube2d1 Cdc23 Cdc26 Anapc4 Rb1 Anapc7 Ube2s Skp2 Anapc16 Fzr1 Anapc15 Cdc27 Ube2c
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.489882854100107	1	0.0494904866135495	0.514043784631321	1.01366946003293	9	Ccne2 E2f2
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.918837675350701	1	0.0138082722594766	0.315983830917858	0.677876230211578	17	Polr2c Ncbp1 Gtf2f2 Polr2h Polr2g Polr2l Polr2f Nelfcd
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.662813102119461	1	0.0630790410571939	-0.665096952908587	-0.890317888351442	1	Chrnb2
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.408930669800235	1	0.0625237414724762	0.6106671453012	1.08248382530805	5	Stxbp1 Stx1a
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	0.099882491186839	0.692398083702432	0.150169802128406	0.76544377138376	1.35684473625486	5	Gna14 Prkca Marcks
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING	0.221532091097308	0.871589427521631	0.132147260608774	0.890720221606648	1.1885545705069	1	Cd9
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.163286004056795	0.80697484333848	0.104343952581949	0.598835995496597	1.25369642135259	13	Dtx4 Neurl1b Arrb1 Dtx2 Dll1
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	0.452702702702703	1	0.0643583367917361	0.651122870083222	1.04308085537536	3	Tiam1 Rac1
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	0.63807285546416	1	0.0419081748591401	0.501780767013894	0.889469113121024	5	Kras Hras
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	0.401351351351351	1	0.0702812841717392	0.671515655306179	1.07574953410128	3	Rac1 Src Fyn
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	0.712909441233141	1	0.0596037042575973	-0.643074792243767	-0.860838391423521	1	Grb2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	0.614713216957606	1	0.0463227785794633	0.538839322486025	0.912271074629438	4	Kras Hras
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	0.167950693374422	0.80697484333848	0.130777137971974	0.838869713959038	1.24523574103505	2	Irs1 Src
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	0.614713216957606	1	0.0463227785794633	0.538839322486025	0.912271074629438	4	Kras Hras
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	0.591	1	0.0380056241581377	0.432467721415631	0.95801725343613	25	Ar H3c8 H2bc6 H4c18 H2bc3 H3c11 H4c12 H3c4 H2bc21
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.414860681114551	1	0.0557104226766671	0.519298373494252	1.0566684973213	11	Mapkapk3 Map3k7 Ikbkg Map2k3 Tab3 Ubc Tab1
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	0.180261832829809	0.819469222241148	0.0978773277424561	0.576726992610668	1.22434594045531	15	Tubb2b Tubb4b Tuba1c Tubb2a Tuba1a Tuba1b Tubb6 Mapt
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	0.844155844155844	1	0.0196032645039178	0.365356697560331	0.85043230817265	53	Rarb Jun Ncoa3 H3c8 H2bc6 H4c18 H2bc3 H3c11 Polr2c H4c12 H3c4 H2bc21 Polr2h
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.726	1	0.0280810636309052	0.391639007903641	0.888540819342322	34	Cdc6 Mcm10 Rfc5 Rfc3 Rpa2 Mcm3 Chek1 Cdc25c Orc1 Mcm4 Cdc25a Mcm6 Cdc45 Rfc2 Rfc4 Mcm2 Clspn Rpa1 Dbf4 Rpa3
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.284253578732106	0.940685251135945	0.0736212741014394	0.556656349185483	1.15263829917735	12	Akt3 Ywhah Sfn Ywhaz Ywhag Ywhaq
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.521608040201005	1	0.0439759278026345	0.456632302535321	0.985896522625744	19	Akt3 Ywhah Sfn Ywhaz Ppp1r13b Ywhag Ywhaq
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	0.847297297297297	1	0.0352404270679709	0.442089221390967	0.708214723193147	3	Cycs Casp3 Casp9
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	0.00261098533725012	0.136981412261388	0.431707695803346	0.662435576382951	1.4950294407757	31	Idi1 Scd1 Scd2 Sqle Fdft1 Cyp51 Dhcr7 Mvd Fdps Hmgcr Lss Mvk Hmgcs1 Srebf1 Pmvk Fasn Elovl6
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON	0.486068111455108	1	0.0484087618816951	0.493940187074842	1.00506965144336	11	Irf7 Cd14 Sarm1 Tlr4 Tank
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.706227967097532	1	0.0372254009247509	0.472838137472284	0.838164685526147	5	Gng3 Gnb1 Calm1 Gnb2 Ncald
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	0.0411280846063455	0.512261996885539	0.241339976815091	0.823195505364408	1.45921690151472	5	Mmp2 Mmp13 Mmp10 Timp2
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7	0.477085781433608	1	0.0552495663125249	0.573111589671568	1.01591190993264	5	Cdk1 Ccnb2 Ccnb1 Plk1
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.338	0.982124731550437	0.0639271933359996	0.472356712657599	1.07404337053706	35	Tubb2b Dlg2 Kras Tubb4b Tuba1c Tubb2a Tuba1a Camkk1 Tuba1b Prkx Tubb6 Kpna2 Mapt Rac1 Src Prkag1 Calm1 Camk2d Lin7c
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.674220963172805	1	0.0817515582532145	-0.520155146142125	-0.859277230934656	2	Tfdp2 E2f1
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION	0.663513513513514	1	0.0465084048719157	0.541978387364921	0.868234408377183	3	Prkag1 Prkag2 Prkab1
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.965087281795511	1	0.0247086313801197	0.332102178858541	0.56225891272424	4	Ppp1r13b E2f1 Trp53bp2 Tfdp2
REACTOME_ACTIVATION_OF_RAC1	0.313142857142857	0.955591947726099	0.0743625384422526	0.623997278040253	1.14374489951473	6	Pak4 Nck2 Nck1 Rac1 Sos2
REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS	0.538205980066445	1	0.0469758727821845	0.514612235414252	0.973436492588484	7	Camkk1 Rac1 Calm1 Git1
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS	0.524324324324324	1	0.0573667426768556	0.612176667364256	0.980690114223033	3	Kras Hras
REACTOME_ACTIVATION_OF_SMO	0.297142857142857	0.946143149284253	0.0770736734944102	0.628769106834955	1.15249133966337	6	Dhh Arrb1 Grk2 Efcab7
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	0.207990599294947	0.845241379310345	0.0985499803531691	0.6963749603425	1.2344116376991	5	Jun Mapk9
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S				-0.329586455731335		15	Eif3i Eif1ax Eif3m Eif3g Eif3j1 Eif4e Eif3h Eif3d Eif4g1 Eif2s3x Eif4h Eif3b Eif3l Eif4a1 Eif2s1
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	0.404054054054054	1	0.0699458736501659	0.670407315045719	1.0739740036138	3	Cngb1 Gnb1 Sag
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.793	1	0.0233667307764121	0.374201454636039	0.841476612861272	30	Cdc6 Mcm10 Rpa2 Gmnn Mcm3 Orc1 Mcm4 Mcm6 Pole3 Cdc45 Pola2 Mcm2 Rpa1 Dbf4 Prim2 Rpa3 Orc3 Pole2 Pole4 Mcm5 Mcm7
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS	0.526964560862866	1	0.0633597010643758	0.662045985827121	0.982754902271952	2	Cited4 Ep300
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS	0.00310924934901472	0.136981412261388	0.431707695803346	0.998614958448753	1.33252658270172	1	Adcyap1r1
REACTOME_ACYL_CHAIN_REMODELING_OF_CL	0.903642773207991	1	0.0250603987343648	0.358797101432441	0.636012698335787	5	Pla2g6 Lclat1 Pla2g4a Hadha Hadhb
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	0.229461756373938	0.875161553811636	0.154190966581424	-0.714918963845408	-1.18101991713815	2	Dgat1 Pnpla2
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	0.0257875396739702	0.431222289646582	0.352487857583619	0.779661204747809	1.51106271619612	8	Pla2r1 Pla2g3 Pla2g4c Lpcat4
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.00820538163835724	0.236038935760688	0.380730400722792	0.798109581273686	1.57383346027041	9	Pla2r1 Pla2g3 Pla2g4c Mboat1 Lpcat4
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	0.0329024676850764	0.484678658591702	0.271288554688953	0.839578211341035	1.48825729507598	5	Pla2r1 Pla2g3 Lpcat4
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	0.0405405405405405	0.509082853345149	0.261663521711573	0.891191593346383	1.42766431990365	3	Pla2r1 Pla2g4c
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	0.0906148867313916	0.673893235303359	0.151148761385484	0.700093628137027	1.35685265969662	8	Pla2r1 Mboat1 Lpcat4 Osbpl10
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.934065934065934	1	0.0121212734616549	0.354853485185808	0.887816863543382	317	Ppl Tubb2b Lmo7 Cdh1 Rnf144b Rap1gap2 Herc6 Mrc2 Cd274 Icam1 Dync1i1 Akt3 Kbtbd6 Orai1 Gan Ctsf Raet1e Fbxl22 H2-D1 Kras Cd14 Tubb4b Pag1 Tuba1c Ube2u Tubb2a Ube2l6 Ywhaz Ppp2r5b Fbxl4 Tuba1a Ptprj Itpr3 Rel Sh3kbp1 Fbxo4 Lrr1 Klc1 Map3k14 Tuba1b Smurf1 Tubb6 Psmc2 Vamp3 Znrf2 Nfatc1 Kif5b Uba6 Kbtbd8 Trim36 Lag3 Ube2c Psmb3 Lyn Psmd3 Psmd14 Psmd12 Ap1s1 Trim21 Asb8 Racgap1 Nck1 Cdc34 Psmd1 Asb6 Ube2g2 Psmc1 Spsb2 Psmd11 Cdc27 Psmb7 Rac1 Atg7 Rnf19b Rnf6 Kif2c Dctn3 Traip Ube2j2 Psmd5 Asb1 Psmd10 Psmd9 Actr1b Tlr4 Wwp1 Psmd13 Kif4 Src Map3k7 Clta Cd28 Vamp8 Ube2j1 Psmc5 Psmc4 Psma1 Ap1s3 Rnf111 Psme2 Fyn Calm1 Kif20a Psma4 Rbx1 Actr1a Cdc20 Dynll1 Psmb10 Psmc3 Fbxo7 Psmd7 Rap1b Fbxo9 Cdc42 Ap1s2 Psmd2 Psma7 Klhl9 Fbxo6 Chuk Hras Akt1 Nectin2 Sipa1 Klhl2 Kif22 Tlr1 Fbxw7 Psmd4 Ctsc
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.685135135135135	1	0.0450442767152795	0.532834580216126	0.853586281855482	3	Gnal Adcy6 Adcy7
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	0.780548628428928	1	0.0353157046479879	0.452542607731744	0.766168157821766	4	Gnal Adcy6 Adcy7 Gnai2
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.218782249742002	0.865576917123309	0.0880945010398517	0.594825254984024	1.21035062005578	11	Cdh1 Nectin1 Nectin4 Jup
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	0.0810536980749747	0.627832611832612	0.155241966228839	0.642577865666936	1.355303841766	14	Adcyap1r1 Ramp2 Ptger4 Prkx Pthlh Gng3 Gnb1 Gnaz
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	0.290183387270766	0.940685251135945	0.0753093764172773	0.598343270644403	1.15965011757903	8	Gna14 Gng3 Gnb1 Src
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12	0.780548628428928	1	0.0353157046479879	0.452542607731744	0.766168157821766	4	Gng3 Gnb1 Gnb2 Gnai2
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION	0.837714285714286	1	0.0275885895800029	0.390630147882164	0.715998698968824	6	Gng3 Gnb1 Adcy6 Gnb2 Gnai2
REACTOME_ADRENOCEPTORS	0.0810810810810811	0.627832611832612	0.181383128498408	0.849484662557785	1.36085096862866	3	Adra1b Adrb2
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING	0.626666666666667	1	0.206587922696891	-0.325523360598919	-0.864328086742119	8	App Ager Capza2 Mapk3 Capza1 Mapk1 Hmgb1 Lgals3
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	0.0294597719760405	0.442474222228372	0.352487857583619	0.897472314479561	1.4377258617001	3	Mgst3 Acy1
REACTOME_AGGREPHAGY	0.06	0.57430810378263	0.181383128498408	0.607242764879018	1.3326698075347	23	Tubb2b Dync1i1 Tubb4b Tuba1c Tubb2a Tuba1a Tuba1b Tubb6 Vcp
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	0.663471778487753	1	0.0355420211253902	0.445122974938184	0.877760959560001	9	Akt3 Chuk Akt1 Casp9 Mkrn1 Bad Mdm2 Gsk3a
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS	0.256857855361596	0.904612033135552	0.0897104652742981	0.706884374142168	1.19677636862547	4	Akt3 Foxo6 Akt1
REACTOME_ALK_MUTANTS_BIND_TKIS	0.32	0.966942800788955	0.175204047558551	-0.504918941388389	-1.08816110323302	4	Birc6 Cltc Strn Ppm1b
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM	0.892580287929125	1	0.0224414263839237	0.347592722586476	0.657503684208924	7	Elovl1 Elovl5 Acox1 Fads2 Acot8
REACTOME_ALPHA_OXIDATION_OF_PHYTANATE	0.996918335901387	1	0.0337507376805299	0.379078782513048	0.562712469884625	2	Aldh3a2 Slc25a17
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY	0.877790834312573	1	0.0266052822097738	0.371484776704204	0.658503188233799	5	Map3k7 Tab3 Ubc Tab1
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	0.0130972554778462	0.278818459449052	0.380730400722792	0.853920457956519	1.51368071943948	5	Adra1b Hrh1 Htr1b
REACTOME_AMINO_ACIDS_REGULATE_MTORC1	0.886	1	0.0164369248025913	0.337030997376117	0.753118151953006	28	Atp6v0e2 Atp6v1h Atp6v1b2 Rraga Atp6v1c1 Atp6v0e Atp6v0b Atp6v1a Rheb
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	0.495145631067961	1	0.0495901956956338	0.519950874878664	1.00771768108795	8	Slc38a1 Slc7a3 Slc16a10
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY	0.171562867215041	0.80697484333848	0.110564716336619	0.719754932897281	1.27585556066341	5	Mlxipl Prkag2 Adipor2
REACTOME_AMYLOID_FIBER_FORMATION	0.603396603396603	1	0.036993251998507	0.416371910523337	0.948826776400989	36	Tspan15 H3c8 Ube2l6 H2bc6 H4c18 H2bc3 H3c11 Tspan14 H4c12 H3c4 H2bc21 Gga1
REACTOME_ANCHORING_FIBRIL_FORMATION	0.0148301638580596	0.298944881980885	0.380730400722792	0.896417227621801	1.51766115320971	4	Lamc2 Lamb3 Col4a5 Col7a1
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	0.935064935064935	1	0.0120226641890431	0.332495171246615	0.779571481749095	60	Kif24 Tubb4b Tuba1a Nek2 Haus6 Haus5 Cep290 Haus3 Cdk1 Cep76 Cenpj Tubg1 Csnk1e Ywhag Cep135 Dctn3 Nedd1 Plk1 Cep152 Actr1a Mapre1 Dynll1 Cep89 Pcnt Haus7 Cetn2 Ssna1 Tubb5 Tuba4a Pafah1b1 Tmem67 Cdk5rap2 Cep41 Cep164
REACTOME_ANDROGEN_BIOSYNTHESIS	0.742209631728045	1	0.0766746872490091	-0.491896384540795	-0.812594792822627	2	Srd5a1 Hsd17b12
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	0.266240681576145	0.923349887133183	0.0791316651768349	0.599033766808678	1.18126559078611	9	Orai1 Itpr3 Sh3kbp1 Lyn Nck1 Fyn Calm1
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	0.925452609158679	1	0.0177814832001704	0.319516725828536	0.630071516523437	9	H2-D1 Tapbp Sec24b Erap1 B2m Sar1b Sec24a Sec24c Sec13
